source_file,status,rows,error,file_doi,rkd_format_version,record_version,first_publication_date,last_modification_date
x30199021.xml,parsed,114,,10.24388/x30199021,2.4,2.0,2023-03-13,2023-03-13
x30199023.xml,parsed,96,,10.24388/x30199023,2.4,2.0,2023-03-13,2023-03-13
x30199024.xml,parsed,84,,10.24388/x30199024,2.4,2.0,2023-03-13,2023-03-13
x30199025.xml,parsed,78,,10.24388/x30199025,2.4,2.0,2023-03-13,2023-03-13
x30199026.xml,parsed,84,,10.24388/x30199026,2.4,2.0,2023-03-13,2023-03-13
x30199027.xml,parsed,90,,10.24388/x30199027,2.4,2.0,2023-03-13,2023-03-13
x30199028.xml,parsed,78,,10.24388/x30199028,2.4,2.0,2023-03-13,2023-03-13
x30199029.xml,parsed,90,,10.24388/x30199029,2.4,2.0,2023-03-13,2023-03-13
x30199030.xml,parsed,90,,10.24388/x30199030,2.4,2.0,2023-03-13,2023-03-13
x30199031.xml,parsed,96,,10.24388/x30199031,2.4,2.0,2023-03-13,2023-03-13
