mechanism_id,reaction_index,reaction_equation,normalized_flame_speed_sensitivity,absolute_sensitivity,absolute_rank,reaction_family,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,flame_speed_m_per_s
POLIMI_2023,131,NNH + O <=> H + N2O,0.00039828444167820925,0.00039828444167820925,91,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,170,H2NO + NH2 <=> HNO + NH3,-0.00039735407655282424,0.00039735407655282424,92,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,117,N2H2 + NH2 <=> NH3 + NNH,0.00038167571364195564,0.00038167571364195564,93,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,167,H2NO + OH <=> H2O + HNO,-0.0003813550347184709,0.0003813550347184709,94,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,73,NH2 + NO2 <=> H2NO + NO,-0.0003751852262011562,0.0003751852262011562,95,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,101,H + N2H3 <=> H2 + N2H2,-0.0003635531281562776,0.0003635531281562776,96,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,62,H + HNOH <=> NH2 + OH,0.0003348488425303026,0.0003348488425303026,97,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,74,NH2 + NO2 <=> H2O + N2O,-0.0003321145641693128,0.0003321145641693128,98,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,119,H2NN <=> H + NNH,0.0003316146378361489,0.0003316146378361489,99,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,27,HO2 + NH3 <=> H2O2 + NH2,0.0003294342280601459,0.0003294342280601459,100,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,123,H + H2NN <=> H2 + NNH,-0.0003269967005831242,0.0003269967005831242,101,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,130,H + NNH <=> H2 + N2,-0.0003079900478087841,0.0003079900478087841,102,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,108,HO2 + N2H3 <=> H2O2 + N2H2,0.0002933966096453131,0.0002933966096453131,103,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,181,NO2 + O <=> NO + O2,-0.0002918461926610056,0.0002918461926610056,104,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,10,H + H2O2 <=> H2 + HO2,0.0002802128645670525,0.0002802128645670525,105,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,158,HONO + OH <=> H2O + NO2,-0.00027995644189049516,0.00027995644189049516,106,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,52,NH2OH + OH <=> H2O + HNOH,-0.000247241883270533,0.000247241883270533,107,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,11,H2O2 + O <=> HO2 + OH,-0.00020825143107066092,0.00020825143107066092,108,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,40,2 NH <=> N + NH2,-0.00020285347005821803,0.00020285347005821803,109,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,150,HNO + NO2 <=> HONO + NO,0.00020089791289986246,0.00020089791289986246,110,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,156,H + HONO <=> H2O + NO,-0.00019529744834962745,0.00019529744834962745,111,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,64,HNOH + O <=> HNO + OH,-0.0001833688690925845,0.0001833688690925845,112,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,154,H + HONO <=> H2 + NO2,-0.00018280410006960045,0.00018280410006960045,113,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,191,N2O + O <=> N2 + O2,-0.00018270260037445005,0.00018270260037445005,114,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,118,N2H2 <=> H2NN,-0.00018042898953241128,0.00018042898953241128,115,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,70,HNOH + NH2 <=> N2H3 + OH,0.00018002270734992826,0.00018002270734992826,116,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,87,NH + NO2 <=> HNO + NO,-0.0001661333492768351,0.0001661333492768351,117,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,166,H2NO + O <=> HNO + OH,-0.00014626748908045834,0.00014626748908045834,118,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,53,NH2OH + OH <=> H2NO + H2O,-0.00013830284325728,0.00013830284325728,119,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,45,2 NH2 <=> H2 + H2NN,0.00013824696727145314,0.00013824696727145314,120,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,116,N2H2 + NH <=> NH2 + NNH,0.00013813803789493984,0.00013813803789493984,121,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,48,H + NH2OH <=> H2 + HNOH,-0.0001351501207346524,0.0001351501207346524,122,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,141,NO + OH <=> HONO,0.00013366918544191825,0.00013366918544191825,123,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,69,HNOH + NH2 <=> HNO + NH3,-0.00013306939393630855,0.00013306939393630855,124,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,146,HNO + OH <=> H2O + NO,-0.00012973565364476818,0.00012973565364476818,125,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,169,H2NO + NO2 <=> HNO + HONO,0.0001281455418106775,0.0001281455418106775,126,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,160,HONO + NH2 <=> NH3 + NO2,-0.0001198717751514663,0.0001198717751514663,127,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,105,N2H3 + OH <=> H2NN + H2O,-0.00011984248864330909,0.00011984248864330909,128,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,49,H + NH2OH <=> H2 + H2NO,-0.00011889194976256757,0.00011889194976256757,129,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,3,2 O + M <=> O2 + M,-0.00011787563111867667,0.00011787563111867667,130,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,67,HNOH + HO2 <=> H2O2 + HNO,0.00011708914915401403,0.00011708914915401403,131,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,133,NNH + O <=> N2 + OH,-0.00011330637666281902,0.00011330637666281902,132,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,66,HNOH + OH <=> H2O + HNO,-0.00011126623991575388,0.00011126623991575388,133,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,125,H2NN + O <=> NNH + OH,0.0001015048037080229,0.0001015048037080229,134,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,171,H2NO + O2 <=> HNO + HO2,9.810365852647977e-05,9.810365852647977e-05,135,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,12,H2O2 + OH <=> H2O + HO2,-9.798444684027086e-05,9.798444684027086e-05,136,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,20,2 HO2 <=> H2O2 + O2,8.09314042485357e-05,8.09314042485357e-05,137,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,124,H2NN + O <=> NH2 + NO,-7.238004375632656e-05,7.238004375632656e-05,138,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,86,NH + NO2 <=> N2O + OH,-7.158771743985922e-05,7.158771743985922e-05,139,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,190,N2O + O <=> 2 NO,-7.113995049192946e-05,7.113995049192946e-05,140,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,68,HNOH + HO2 <=> NH2OH + O2,-6.882319910530169e-05,6.882319910530169e-05,141,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,35,NH2 + O2 <=> HNO + OH,6.461300024909363e-05,6.461300024909363e-05,142,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
