design_id,design_role,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,criterion,reactor,status,ignition_delay_s,final_temperature_K,max_temperature_K,integration_steps,converged,failure_reason,runtime_s
map_0121,training,True,False,POLIMI_2023,1800,5,1.3,0.05,max_dTdt,constant_volume,completed,4.1320634092046784e-05,3106.306432968582,3169.0856213389143,2003,True,,0.16712919999918086
map_0122,training,True,False,POLIMI_2023,1800,20,1.3,0.05,max_dTdt,constant_volume,completed,1.2916223546458393e-05,3228.904233567522,3228.904233580331,1948,True,,0.19313289999990957
map_0123,training,True,False,POLIMI_2023,1800,5,1.1,0.05,max_dTdt,constant_volume,completed,3.918897763928985e-05,3115.5290966547723,3128.0237363141596,1761,True,,0.15954680000140797
map_0124,training,True,False,POLIMI_2023,1400,5,0.9,0.4,max_dTdt,constant_volume,completed,1.6239739951211345e-05,2968.0005566370123,2968.0005566592686,1608,True,,0.1363625999983924
map_0125,training,True,False,POLIMI_2023,1400,10,1.3,0.3,max_dTdt,constant_volume,completed,1.8416701460668225e-05,3032.642529870473,3032.6425299020607,1776,True,,0.14211559999966994
map_0126,training,True,False,POLIMI_2023,1400,5,0.8,0.2,max_dTdt,constant_volume,completed,5.0725925114156165e-05,2886.2465486425785,2886.246548776876,1876,True,,0.14343389999703504
map_0127,training,True,False,POLIMI_2023,1600,5,0.8,0.1,max_dTdt,constant_volume,completed,4.785382146048225e-05,2960.4884936924673,2960.488493698536,1831,True,,0.15029449999929057
map_0128,training,True,False,POLIMI_2023,1600,5,1.0,0.1,max_dTdt,constant_volume,completed,4.9631166083646625e-05,3042.36705117211,3042.367051180754,1881,True,,0.14893060000031255
map_0129,training,True,False,POLIMI_2023,1600,5,1.3,0.1,max_dTdt,constant_volume,completed,5.3398623097477063e-05,3038.219019043476,3071.7202309795166,1874,True,,0.16972439999881317
map_0130,training,True,False,POLIMI_2023,1600,10,0.6,0.1,max_dTdt,constant_volume,completed,2.9928853146546538e-05,2823.336738096193,2825.297755936645,1957,True,,0.17557989999841084
map_0131,training,True,False,POLIMI_2023,1600,10,1.4,0.1,max_dTdt,constant_volume,completed,3.250382650462927e-05,3066.4202663304864,3088.8120535017974,1956,True,,0.1733343000014429
map_0132,training,True,False,POLIMI_2023,1600,20,0.6,0.0,max_dTdt,constant_volume,completed,0.00011411757899942133,2836.4345099682696,2841.7310298041916,2233,True,,0.19351850000020931
