design_id,design_role,inside_experimental_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,status,laminar_burning_velocity_m_per_s,max_temperature_K,grid_points,transport_model,soret_enabled,failure_reason,runtime_s,thermo_min_temperature_K,thermo_max_temperature_K,within_mechanism_thermo_range,surrogate_m_per_s,surrogate_90_low_m_per_s,surrogate_90_high_m_per_s,surrogate_log_standard_deviation,surrogate_relative_error,surrogate_log_error,surrogate_interval_covered
map_0123,interpolation_holdout,True,MEI_2021,300,1,0.7,0.7,completed,0.4711323464835328,1797.1267008749298,182,multicomponent,True,,76.36119270000017,300,3000,True,0.4780525037988615,0.4460339418115131,0.5123695193693026,0.0421431703355724,0.0146883510906856,0.0145815220859094,True
map_0124,interpolation_holdout,True,MEI_2021,300,1,1.3,0.7,completed,1.0451061929218086,2002.09735273144,192,multicomponent,True,,12.022264399998676,300,3000,True,1.0563977426005722,0.9845015959327084,1.1335443184470602,0.042847735200167,0.0108042127730539,0.0107462642844495,True
map_0125,interpolation_holdout,True,MEI_2021,450,5,1.0,0.0,completed,0.0969163489450862,2177.9118387210724,183,multicomponent,True,,21.26073929999984,300,3000,True,0.0971015691180017,0.094273813256631,0.1000141439013539,0.0179660060904097,0.001911134446681,0.0019093105526791,True
map_0126,interpolation_holdout,True,MEI_2021,300,5,1.0,0.5,completed,0.2752281217760071,2157.5663380634296,208,multicomponent,True,,19.53287760000057,300,3000,True,0.2761887596767247,0.2586006751393676,0.2949730542298774,0.0399996758334922,0.0034903333806109,0.0034842563036347,True
map_0127,interpolation_holdout,True,MEI_2021,450,1,1.4,0.05,completed,0.1591259615015572,1981.4883483965448,146,multicomponent,True,,3.3841733999997814,300,3000,True,0.1598246689070533,0.1545567159771607,0.1652721761700988,0.0203746336627491,0.00439090767404,0.0043812957653367,True
map_0128,interpolation_holdout,True,MEI_2021,300,5,0.7,0.2,completed,0.0307688172814373,1760.1473152368685,198,multicomponent,True,,29.95565600000009,300,3000,True,0.0298013860656883,0.0284986135919731,0.031163712879224,0.0271729267510284,0.031441937039699,0.0319468465017444,True
map_0129,interpolation_holdout,True,MEI_2021,300,1,0.6,0.05,completed,0.0151596578578385,1592.6268257993963,175,multicomponent,True,,30.750917599998505,300,3000,True,0.0148126205285466,0.0143879981929879,0.0152497744286383,0.0176809456345168,0.0228921610597163,0.023158255404842,True
map_0130,interpolation_holdout,True,MEI_2021,450,1,1.0,0.5,completed,1.0989723701641885,2196.579020331312,184,multicomponent,True,,6.76858700000048,300,3000,True,1.099458333388012,1.0466213909583797,1.1549626610912784,0.0299394413742825,0.0004421978541198,0.0004421001134614,True
map_0131,interpolation_holdout,True,MEI_2021,300,1,1.4,0.3,completed,0.1615184013703506,1932.004479805409,169,multicomponent,True,,122.3018144000016,300,3000,True,0.16190402691072,0.1564211551400409,0.1675790842129967,0.0209432530052967,0.0023875022108795,0.0023846566557554,True
map_0132,interpolation_holdout,True,MEI_2021,450,1,0.9,0.0,completed,0.123657364556634,2068.3822559962214,168,multicomponent,True,,14.000649100000372,300,3000,True,0.1231127479037373,0.1179592341142001,0.1284914132431163,0.0259948291563262,0.0044042395279028,0.0044139667620322,True
map_0133,interpolation_holdout,False,MEI_2021,600,10,1.0,0.3,completed,0.4047485329146976,2336.709109562457,191,multicomponent,True,,10.7897525999997,300,3000,True,0.4062277217668307,0.3833913295720911,0.4304243450577039,0.0351718405053106,0.0036545873100047,0.0036479255315686,True
map_0134,interpolation_holdout,False,MEI_2021,450,1,0.7,0.7,completed,1.1094223718047478,1913.51278553098,170,multicomponent,True,,7.673756299998786,300,3000,True,1.1289810143236274,1.0382359066872069,1.22765753187075,0.0509376530866973,0.0176295728443466,0.0174759745457818,True
map_0135,interpolation_holdout,False,MEI_2021,750,1,0.6,0.05,completed,0.279742501210259,1929.946508294404,162,multicomponent,True,,13.117145099999108,300,3000,True,0.2881069703234256,0.276680911583696,0.3000048896536689,0.0245999619817433,0.0299006017211512,0.0294622944014642,True
map_0136,interpolation_holdout,False,MEI_2021,300,20,1.4,0.7,completed,0.2444084870008853,2045.941826825287,202,multicomponent,True,,217.5739973,300,3000,True,0.2719850430328194,0.2479725749653292,0.2983227626841706,0.0561877937394022,0.1128297808735021,0.1069061233767454,False
map_0137,interpolation_holdout,False,MEI_2021,750,1,1.4,0.5,completed,2.7683068655646994,2256.298383935329,190,multicomponent,True,,7.255203099999562,300,3000,True,2.615446169305584,2.3431527288329197,2.919382326367778,0.0668312216643776,0.0552181183959653,0.056801191247265,True
map_0138,interpolation_holdout,False,MEI_2021,300,5,0.6,0.0,completed,0.0043709211623658,1587.139809255102,162,multicomponent,True,,49.16676970000117,300,3000,True,0.0050598123766007,0.0046846724756978,0.0054649927864141,0.0468288138468644,0.1576077876138213,0.1463556236914141,False
map_0139,interpolation_holdout,False,MEI_2021,300,10,1.4,0.0,completed,0.0269389377887998,1893.9406070110988,170,multicomponent,True,,42.6168830000006,300,3000,True,0.026725606353481,0.0258172919826527,0.0276658774065518,0.0210198455742521,0.0079190737582626,0.0079505961519204,True
map_0140,interpolation_holdout,False,MEI_2021,300,20,0.7,0.7,completed,0.0889773032853986,1832.9785198089712,206,multicomponent,True,,27.942907900000137,300,3000,True,0.0747501588727655,0.0663858744124131,0.0841683008766529,0.0721380173607158,0.1598963318431769,0.1742299802873088,False
map_0141,interpolation_holdout,False,MEI_2021,750,5,0.6,0.7,completed,1.9829192114135843,2013.9345506350232,173,multicomponent,True,,9.907894800000577,300,3000,True,1.911182553329282,1.715976711546102,2.12859459430496,0.0654952940589051,0.0361772974266372,0.0368479197790336,True
map_0142,interpolation_holdout,False,MEI_2021,600,1,1.2,0.0,completed,0.3273692446340512,2176.710819576523,186,multicomponent,True,,6.852765499999805,300,3000,True,0.3314232084399733,0.300377266596427,0.3656779500567988,0.059791425000475,0.0123834595716338,0.0123074117162074,True
