design_id,pressure_bar,equivalence_ratio,cracking_ratio,support_tier,screening_pareto,exploratory_extrapolative_pareto,reactivity_improved
screen_0333,10,1.1,0.3,extrapolative,False,False,True
screen_0334,10,1.1,0.4,extrapolative,False,False,True
screen_0335,10,1.1,0.5,extrapolative,False,False,True
screen_0336,10,1.1,0.7,mechanism_thermo_extrapolation,False,False,True
screen_0337,10,1.2,0.0,extrapolative,False,False,False
screen_0338,10,1.2,0.05,extrapolative,False,False,True
screen_0339,10,1.2,0.1,extrapolative,False,False,True
screen_0340,10,1.2,0.2,extrapolative,False,False,True
screen_0341,10,1.2,0.3,extrapolative,False,False,True
screen_0342,10,1.2,0.4,extrapolative,False,False,True
screen_0343,10,1.2,0.5,extrapolative,False,False,True
screen_0344,10,1.2,0.7,extrapolative,False,False,True
screen_0345,10,1.3,0.0,extrapolative,False,False,False
screen_0346,10,1.3,0.05,extrapolative,False,False,True
screen_0347,10,1.3,0.1,extrapolative,False,False,True
screen_0348,10,1.3,0.2,extrapolative,False,False,True
screen_0349,10,1.3,0.3,extrapolative,False,False,True
screen_0350,10,1.3,0.4,extrapolative,False,False,True
screen_0351,10,1.3,0.5,extrapolative,False,False,True
screen_0352,10,1.3,0.7,extrapolative,False,False,True
screen_0353,10,1.4,0.0,extrapolative,False,False,False
screen_0354,10,1.4,0.05,extrapolative,False,False,True
screen_0355,10,1.4,0.1,extrapolative,False,False,True
screen_0356,10,1.4,0.2,extrapolative,False,False,True
screen_0357,10,1.4,0.3,extrapolative,False,False,True
screen_0358,10,1.4,0.4,extrapolative,False,False,True
screen_0359,10,1.4,0.5,extrapolative,False,False,True
screen_0360,10,1.4,0.7,extrapolative,False,False,True
screen_0361,20,0.6,0.0,extrapolative,False,False,False
screen_0362,20,0.6,0.05,extrapolative,False,False,True
screen_0363,20,0.6,0.1,extrapolative,False,False,True
screen_0364,20,0.6,0.2,extrapolative,False,False,True
screen_0365,20,0.6,0.3,extrapolative,False,False,True
screen_0366,20,0.6,0.4,extrapolative,False,False,True
screen_0367,20,0.6,0.5,extrapolative,False,False,True
screen_0368,20,0.6,0.7,extrapolative,False,False,True
screen_0369,20,0.7,0.0,extrapolative,False,False,False
screen_0370,20,0.7,0.05,extrapolative,False,False,True
screen_0371,20,0.7,0.1,extrapolative,False,False,True
screen_0372,20,0.7,0.2,extrapolative,False,False,True
screen_0373,20,0.7,0.3,extrapolative,False,False,True
screen_0374,20,0.7,0.4,extrapolative,False,False,True
screen_0375,20,0.7,0.5,extrapolative,False,False,True
screen_0376,20,0.7,0.7,extrapolative,False,True,True
screen_0377,20,0.8,0.0,extrapolative,False,False,False
screen_0378,20,0.8,0.05,extrapolative,False,False,True
screen_0379,20,0.8,0.1,extrapolative,False,False,True
screen_0380,20,0.8,0.2,extrapolative,False,False,True
screen_0381,20,0.8,0.3,extrapolative,False,False,True
screen_0382,20,0.8,0.4,extrapolative,False,False,True
